name,total_pop,white_alone,black_alone,hispanic_latino,state,county,tract,pct_white,pct_black,pct_hispanic,GEOID
Census Tract 605; Cook County; Illinois,1287,939,60,108,17,031,060500,73.0,4.7,8.4,17031060500
Census Tract 608; Cook County; Illinois,5319,3421,194,637,17,031,060800,64.3,3.6,12.0,17031060800
Census Tract 609; Cook County; Illinois,6943,5368,142,654,17,031,060900,77.3,2.0,9.4,17031060900
Census Tract 610; Cook County; Illinois,2324,1580,49,226,17,031,061000,68.0,2.1,9.7,17031061000
Census Tract 611; Cook County; Illinois,1436,1108,48,215,17,031,061100,77.2,3.3,15.0,17031061100
Census Tract 612; Cook County; Illinois,2052,1556,74,261,17,031,061200,75.8,3.6,12.7,17031061200
Census Tract 615; Cook County; Illinois,2023,1636,83,117,17,031,061500,80.9,4.1,5.8,17031061500
Census Tract 618; Cook County; Illinois,1204,830,28,150,17,031,061800,68.9,2.3,12.5,17031061800
Census Tract 619.01; Cook County; Illinois,3517,2427,276,484,17,031,061901,69.0,7.8,13.8,17031061901
Census Tract 619.02; Cook County; Illinois,4938,3581,296,308,17,031,061902,72.5,6.0,6.2,17031061902
Census Tract 620; Cook County; Illinois,2890,2241,125,237,17,031,062000,77.5,4.3,8.2,17031062000
Census Tract 621; Cook County; Illinois,3646,2818,139,355,17,031,062100,77.3,3.8,9.7,17031062100
Census Tract 622; Cook County; Illinois,3152,2410,29,439,17,031,062200,76.5,0.9,13.9,17031062200
Census Tract 623; Cook County; Illinois,1609,1313,15,104,17,031,062300,81.6,0.9,6.5,17031062300
Census Tract 624; Cook County; Illinois,1799,1442,95,155,17,031,062400,80.2,5.3,8.6,17031062400
Census Tract 625; Cook County; Illinois,1420,1014,50,173,17,031,062500,71.4,3.5,12.2,17031062500
Census Tract 626; Cook County; Illinois,2371,1772,40,219,17,031,062600,74.7,1.7,9.2,17031062600
Census Tract 627; Cook County; Illinois,3046,2474,43,156,17,031,062700,81.2,1.4,5.1,17031062700
Census Tract 628; Cook County; Illinois,3682,2953,55,324,17,031,062800,80.2,1.5,8.8,17031062800
Census Tract 629; Cook County; Illinois,4138,2916,259,415,17,031,062900,70.5,6.3,10.0,17031062900
Census Tract 630; Cook County; Illinois,3280,2529,126,274,17,031,063000,77.1,3.8,8.4,17031063000
Census Tract 631; Cook County; Illinois,2352,1997,0,125,17,031,063100,84.9,0.0,5.3,17031063100
Census Tract 632; Cook County; Illinois,6380,5073,374,425,17,031,063200,79.5,5.9,6.7,17031063200
Census Tract 633.01; Cook County; Illinois,2992,1946,182,439,17,031,063301,65.0,6.1,14.7,17031063301
Census Tract 633.02; Cook County; Illinois,4102,3378,135,175,17,031,063302,82.4,3.3,4.3,17031063302
Census Tract 633.03; Cook County; Illinois,1198,929,13,24,17,031,063303,77.5,1.1,2.0,17031063303
Census Tract 634; Cook County; Illinois,2435,1909,103,220,17,031,063400,78.4,4.2,9.0,17031063400
Census Tract 701.01; Cook County; Illinois,4583,3594,94,480,17,031,070101,78.4,2.1,10.5,17031070101
Census Tract 701.02; Cook County; Illinois,2980,2241,170,167,17,031,070102,75.2,5.7,5.6,17031070102
Census Tract 701.03; Cook County; Illinois,1439,1046,107,120,17,031,070103,72.7,7.4,8.3,17031070103
Census Tract 702; Cook County; Illinois,4019,3036,118,415,17,031,070200,75.5,2.9,10.3,17031070200
Census Tract 703; Cook County; Illinois,3818,3277,70,185,17,031,070300,85.8,1.8,4.8,17031070300
Census Tract 704; Cook County; Illinois,3421,2832,9,177,17,031,070400,82.8,0.3,5.2,17031070400
Census Tract 705; Cook County; Illinois,3185,2720,119,140,17,031,070500,85.4,3.7,4.4,17031070500
Census Tract 706; Cook County; Illinois,3194,2620,23,176,17,031,070600,82.0,0.7,5.5,17031070600
Census Tract 707; Cook County; Illinois,3741,2330,314,536,17,031,070700,62.3,8.4,14.3,17031070700
Census Tract 710; Cook County; Illinois,4525,3655,225,293,17,031,071000,80.8,5.0,6.5,17031071000
Census Tract 711; Cook County; Illinois,3186,2476,40,318,17,031,071100,77.7,1.3,10.0,17031071100
Census Tract 712; Cook County; Illinois,2386,1849,52,197,17,031,071200,77.5,2.2,8.3,17031071200
Census Tract 713; Cook County; Illinois,4129,3109,29,220,17,031,071300,75.3,0.7,5.3,17031071300
Census Tract 714; Cook County; Illinois,4763,3985,248,204,17,031,071400,83.7,5.2,4.3,17031071400
Census Tract 715; Cook County; Illinois,5991,5149,114,236,17,031,071500,85.9,1.9,3.9,17031071500
Census Tract 716; Cook County; Illinois,1903,1542,95,77,17,031,071600,81.0,5.0,4.0,17031071600
Census Tract 717; Cook County; Illinois,1485,1084,165,27,17,031,071700,73.0,11.1,1.8,17031071700
Census Tract 718; Cook County; Illinois,2726,2153,203,200,17,031,071800,79.0,7.4,7.3,17031071800
Census Tract 801; Cook County; Illinois,6607,5601,47,272,17,031,080100,84.8,0.7,4.1,17031080100
Census Tract 802.01; Cook County; Illinois,3236,2879,0,65,17,031,080201,89.0,0.0,2.0,17031080201
Census Tract 802.02; Cook County; Illinois,3800,3181,60,307,17,031,080202,83.7,1.6,8.1,17031080202
Census Tract 803; Cook County; Illinois,5836,4058,33,628,17,031,080300,69.5,0.6,10.8,17031080300
Census Tract 804; Cook County; Illinois,4888,1531,2310,158,17,031,080400,31.3,47.3,3.2,17031080400
Census Tract 810; Cook County; Illinois,8150,5316,862,658,17,031,081000,65.2,10.6,8.1,17031081000
Census Tract 811; Cook County; Illinois,4455,3317,370,161,17,031,081100,74.5,8.3,3.6,17031081100
Census Tract 812.01; Cook County; Illinois,4428,3572,77,222,17,031,081201,80.7,1.7,5.0,17031081201
Census Tract 812.02; Cook County; Illinois,3437,2876,115,132,17,031,081202,83.7,3.3,3.8,17031081202
Census Tract 813; Cook County; Illinois,6014,4196,353,371,17,031,081300,69.8,5.9,6.2,17031081300
Census Tract 814.01; Cook County; Illinois,2171,1416,57,166,17,031,081401,65.2,2.6,7.6,17031081401
Census Tract 814.02; Cook County; Illinois,5942,3051,334,685,17,031,081402,51.3,5.6,11.5,17031081402
Census Tract 814.03; Cook County; Illinois,8987,4937,146,397,17,031,081403,54.9,1.6,4.4,17031081403
Census Tract 815; Cook County; Illinois,4906,2711,216,254,17,031,081500,55.3,4.4,5.2,17031081500
Census Tract 816; Cook County; Illinois,3725,2874,87,172,17,031,081600,77.2,2.3,4.6,17031081600
Census Tract 817; Cook County; Illinois,5217,3465,189,642,17,031,081700,66.4,3.6,12.3,17031081700
Census Tract 818; Cook County; Illinois,12213,8918,249,1441,17,031,081800,73.0,2.0,11.8,17031081800
Census Tract 819; Cook County; Illinois,1111,717,167,108,17,031,081900,64.5,15.0,9.7,17031081900
Census Tract 901; Cook County; Illinois,3526,2828,10,502,17,031,090100,80.2,0.3,14.2,17031090100
Census Tract 902; Cook County; Illinois,6505,5195,40,971,17,031,090200,79.9,0.6,14.9,17031090200
Census Tract 903; Cook County; Illinois,1371,1143,0,201,17,031,090300,83.4,0.0,14.7,17031090300
Census Tract 1001; Cook County; Illinois,5890,3914,0,1358,17,031,100100,66.5,0.0,23.1,17031100100
Census Tract 1002; Cook County; Illinois,7564,4743,162,2103,17,031,100200,62.7,2.1,27.8,17031100200
Census Tract 1003; Cook County; Illinois,6447,5144,49,863,17,031,100300,79.8,0.8,13.4,17031100300
Census Tract 1004; Cook County; Illinois,3325,2492,5,431,17,031,100400,74.9,0.2,13.0,17031100400
Census Tract 1005; Cook County; Illinois,5814,4225,49,692,17,031,100500,72.7,0.8,11.9,17031100500
Census Tract 1006; Cook County; Illinois,4914,2754,0,1563,17,031,100600,56.0,0.0,31.8,17031100600
Census Tract 1007; Cook County; Illinois,5372,4005,106,802,17,031,100700,74.6,2.0,14.9,17031100700
Census Tract 1101; Cook County; Illinois,5776,3238,34,1143,17,031,110100,56.1,0.6,19.8,17031110100
Census Tract 1102; Cook County; Illinois,2821,1456,201,1012,17,031,110200,51.6,7.1,35.9,17031110200
Census Tract 1103; Cook County; Illinois,5304,3500,11,1248,17,031,110300,66.0,0.2,23.5,17031110300
Census Tract 1104; Cook County; Illinois,4501,2732,39,1084,17,031,110400,60.7,0.9,24.1,17031110400
Census Tract 1105.01; Cook County; Illinois,5097,2328,269,1555,17,031,110501,45.7,5.3,30.5,17031110501
Census Tract 1105.02; Cook County; Illinois,3533,2114,105,752,17,031,110502,59.8,3.0,21.3,17031110502
Census Tract 1201; Cook County; Illinois,4400,3691,4,329,17,031,120100,83.9,0.1,7.5,17031120100
Census Tract 1202; Cook County; Illinois,4573,3788,60,172,17,031,120200,82.8,1.3,3.8,17031120200
Census Tract 1203; Cook County; Illinois,7046,5226,19,679,17,031,120300,74.2,0.3,9.6,17031120300
Census Tract 1204; Cook County; Illinois,3836,1898,110,959,17,031,120400,49.5,2.9,25.0,17031120400
Census Tract 1301; Cook County; Illinois,4895,3022,101,284,17,031,130100,61.7,2.1,5.8,17031130100
Census Tract 1302; Cook County; Illinois,1545,787,15,524,17,031,130200,50.9,1.0,33.9,17031130200
Census Tract 1303; Cook County; Illinois,5040,1715,159,1192,17,031,130300,34.0,3.2,23.7,17031130300
Census Tract 1401; Cook County; Illinois,3520,1631,125,1361,17,031,140100,46.3,3.6,38.7,17031140100
Census Tract 1402; Cook County; Illinois,6603,1837,571,2732,17,031,140200,27.8,8.6,41.4,17031140200
Census Tract 1403.01; Cook County; Illinois,2908,311,52,1643,17,031,140301,10.7,1.8,56.5,17031140301
Census Tract 1403.02; Cook County; Illinois,3311,1327,210,1129,17,031,140302,40.1,6.3,34.1,17031140302
Census Tract 1404; Cook County; Illinois,5911,2492,97,1820,17,031,140400,42.2,1.6,30.8,17031140400
Census Tract 1405; Cook County; Illinois,3171,1181,111,1155,17,031,140500,37.2,3.5,36.4,17031140500
Census Tract 1406.01; Cook County; Illinois,2762,793,294,1196,17,031,140601,28.7,10.6,43.3,17031140601
Census Tract 1406.02; Cook County; Illinois,4703,841,387,2832,17,031,140602,17.9,8.2,60.2,17031140602
Census Tract 1407.01; Cook County; Illinois,2990,641,108,1552,17,031,140701,21.4,3.6,51.9,17031140701
Census Tract 1407.02; Cook County; Illinois,5572,1388,69,3664,17,031,140702,24.9,1.2,65.8,17031140702
Census Tract 1408; Cook County; Illinois,6212,3595,0,1999,17,031,140800,57.9,0.0,32.2,17031140800
Census Tract 1502; Cook County; Illinois,7263,3904,175,2204,17,031,150200,53.8,2.4,30.3,17031150200
Census Tract 1503; Cook County; Illinois,7272,4718,119,1703,17,031,150300,64.9,1.6,23.4,17031150300
Census Tract 1504.01; Cook County; Illinois,5146,2981,48,1495,17,031,150401,57.9,0.9,29.1,17031150401
Census Tract 1504.02; Cook County; Illinois,3945,1826,201,1645,17,031,150402,46.3,5.1,41.7,17031150402
Census Tract 1505.01; Cook County; Illinois,3854,2209,11,937,17,031,150501,57.3,0.3,24.3,17031150501
Census Tract 1505.02; Cook County; Illinois,3953,1967,106,1415,17,031,150502,49.8,2.7,35.8,17031150502
Census Tract 1506; Cook County; Illinois,4223,1996,77,1883,17,031,150600,47.3,1.8,44.6,17031150600
Census Tract 1507; Cook County; Illinois,4453,2009,57,2221,17,031,150700,45.1,1.3,49.9,17031150700
Census Tract 1508; Cook County; Illinois,4668,1669,119,2476,17,031,150800,35.8,2.5,53.0,17031150800
Census Tract 1510.01; Cook County; Illinois,2816,651,0,2048,17,031,151001,23.1,0.0,72.7,17031151001
Census Tract 1510.02; Cook County; Illinois,4892,1192,70,3494,17,031,151002,24.4,1.4,71.4,17031151002
Census Tract 1511; Cook County; Illinois,5447,1882,59,3198,17,031,151100,34.6,1.1,58.7,17031151100
Census Tract 1512; Cook County; Illinois,4057,1980,0,1783,17,031,151200,48.8,0.0,43.9,17031151200
Census Tract 1601; Cook County; Illinois,2757,1500,0,654,17,031,160100,54.4,0.0,23.7,17031160100
Census Tract 1602; Cook County; Illinois,3356,2114,86,886,17,031,160200,63.0,2.6,26.4,17031160200
Census Tract 1603; Cook County; Illinois,3685,2095,200,550,17,031,160300,56.9,5.4,14.9,17031160300
Census Tract 1604; Cook County; Illinois,5171,2683,178,1758,17,031,160400,51.9,3.4,34.0,17031160400
Census Tract 1605.01; Cook County; Illinois,3270,937,479,1583,17,031,160501,28.7,14.6,48.4,17031160501
Census Tract 1605.02; Cook County; Illinois,4012,1123,91,2205,17,031,160502,28.0,2.3,55.0,17031160502
Census Tract 1606.01; Cook County; Illinois,3003,1748,34,829,17,031,160601,58.2,1.1,27.6,17031160601
Census Tract 1606.02; Cook County; Illinois,3757,1693,70,1435,17,031,160602,45.1,1.9,38.2,17031160602
Census Tract 1607; Cook County; Illinois,6265,2409,234,2454,17,031,160700,38.5,3.7,39.2,17031160700
Census Tract 1608; Cook County; Illinois,5236,1619,34,3185,17,031,160800,30.9,0.6,60.8,17031160800
Census Tract 1609; Cook County; Illinois,2420,1451,59,525,17,031,160900,60.0,2.4,21.7,17031160900
